Duelist,Grade,Card,Weight
"Simon Muran","S/A POW","Mystical Elf",27
"Simon Muran","S/A POW","Shadow Specter",90
"Simon Muran","S/A POW","Blackland Fire Dragon",30
"Simon Muran","S/A POW","Time Wizard",60
"Simon Muran","S/A POW","Right Arm of the Forbidden One",6
"Simon Muran","S/A POW","Skull Servant",27
"Simon Muran","S/A POW","Horn Imp",27
"Simon Muran","S/A POW","Zombie Warrior",27
"Simon Muran","S/A POW","Celtic Guardian",27
"Simon Muran","S/A POW","Griffore",27
"Simon Muran","S/A POW","Torike",27
"Simon Muran","S/A POW","Sangan",27
"Simon Muran","S/A POW","Kuriboh",30
"Simon Muran","S/A POW","Mammoth Graveyard",27
"Simon Muran","S/A POW","Silver Fang",27
"Simon Muran","S/A POW","Tomozaurus",52
"Simon Muran","S/A POW","Dark Plant",52
"Simon Muran","S/A POW","Weather Control",52
"Simon Muran","S/A POW","Mystery Hand",52
"Simon Muran","S/A POW","Ancient Jar",52
"Simon Muran","S/A POW","Key Mace",52
"Simon Muran","S/A POW","Mech Mole Zombie",52
"Simon Muran","S/A POW","Air Marmot of Nefariousness",52
"Simon Muran","S/A POW","Haniwa",52
"Simon Muran","S/A POW","Yashinoki",12
"Simon Muran","S/A POW","Change Slime",52
"Simon Muran","S/A POW","Sogen",40
"Simon Muran","S/A POW","Toon Alligator",2
"Simon Muran","S/A POW","Mystic Lamp",52
"Simon Muran","S/A POW","Leghul",52
"Simon Muran","S/A POW","Monster Eye",52
"Simon Muran","S/A POW","Mechanical Spider",52
"Simon Muran","S/A POW","Bat",52
"Simon Muran","S/A POW","Jinzo #7",52
"Simon Muran","S/A POW","White Dolphin",52
"Simon Muran","S/A POW","Turu-Purun",52
"Simon Muran","S/A POW","Armed Ninja",52
"Simon Muran","S/A POW","Ameba",52
"Simon Muran","S/A POW","Korogashi",52
"Simon Muran","S/A POW","Rainbow Flower",52
"Simon Muran","S/A POW","Fungi of the Musk",52
"Simon Muran","S/A POW","Muka Muka",52
"Simon Muran","S/A POW","Griggle",52
"Simon Muran","S/A POW","Bone Mouse",52
"Simon Muran","S/A POW","Pot the Trick",52
"Simon Muran","S/A POW","Wretched Ghost of the Attic",52
"Simon Muran","S/A POW","Queen's Double",52
"Teana 1","S/A POW","Right Arm of the Forbidden One",6
"Teana 1","S/A POW","Skull Servant",180
"Teana 1","S/A POW","Kuriboh",180
"Teana 1","S/A POW","Mask of Darkness",12
"Teana 1","S/A POW","Ancient Jar",180
"Teana 1","S/A POW","Sword of Dark Destruction",16
"Teana 1","S/A POW","Forest",30
"Teana 1","S/A POW","Zone Eater",176
"Teana 1","S/A POW","Dancing Elf",176
"Teana 1","S/A POW","Ooguchi",176
"Teana 1","S/A POW","Swordsman from a Foreign Land",176
"Teana 1","S/A POW","Monster Eye",176
"Teana 1","S/A POW","Armed Ninja",176
"Teana 1","S/A POW","Sinister Serpent",176
"Teana 1","S/A POW","Milus Radiant",176
"Teana 1","S/A POW","Tongyo",12
"Teana 1","S/A POW","Yormungarde",12
"Teana 1","S/A POW","Trakadon",6
"Teana 1","S/A POW","Patrol Robo",6
"Jono 1","S/A POW","Baby Dragon",20
"Jono 1","S/A POW","Time Wizard",64
"Jono 1","S/A POW","Left Arm of the Forbidden One",6
"Jono 1","S/A POW","Mountain Warrior",20
"Jono 1","S/A POW","Basic Insect",44
"Jono 1","S/A POW","Wolf",20
"Jono 1","S/A POW","Battle Warrior",20
"Jono 1","S/A POW","Curtain of the Dark Ones",44
"Jono 1","S/A POW","Tomozaurus",44
"Jono 1","S/A POW","Yamatano Dragon Scroll",44
"Jono 1","S/A POW","Weather Control",44
"Jono 1","S/A POW","Fiend's Hand",44
"Jono 1","S/A POW","Mystery Hand",44
"Jono 1","S/A POW","The Melting Red Shadow",44
"Jono 1","S/A POW","Fire Reaper",44
"Jono 1","S/A POW","Hurricail",44
"Jono 1","S/A POW","Masked Clown",44
"Jono 1","S/A POW","Eyearmor",44
"Jono 1","S/A POW","LALA Li-oon",44
"Jono 1","S/A POW","Mech Mole Zombie",44
"Jono 1","S/A POW","Air Marmot of Nefariousness",44
"Jono 1","S/A POW","Droll Bird",44
"Jono 1","S/A POW","Hinotama Soul",44
"Jono 1","S/A POW","Kagemusha of the Blue Flame",44
"Jono 1","S/A POW","Haniwa",44
"Jono 1","S/A POW","Candle of Fate",44
"Jono 1","S/A POW","Meda Bat",44
"Jono 1","S/A POW","Sectarian of Secrets",44
"Jono 1","S/A POW","Sogen",25
"Jono 1","S/A POW","Mechanical Spider",44
"Jono 1","S/A POW","Cyber-Stein",44
"Jono 1","S/A POW","Jinzo #7",44
"Jono 1","S/A POW","White Dolphin",44
"Jono 1","S/A POW","Turu-Purun",44
"Jono 1","S/A POW","Korogashi",44
"Jono 1","S/A POW","Boo Koo",44
"Jono 1","S/A POW","Rainbow Flower",44
"Jono 1","S/A POW","Hoshiningen",44
"Jono 1","S/A POW","Man-eater Bug",44
"Jono 1","S/A POW","Muka Muka",44
"Jono 1","S/A POW","Star Boy",44
"Jono 1","S/A POW","Frog The Jam",44
"Jono 1","S/A POW","Pot the Trick",44
"Jono 1","S/A POW","Wretched Ghost of the Attic",44
"Jono 1","S/A POW","Trakadon",6
"Jono 1","S/A POW","Abyss Flower",44
"Jono 1","S/A POW","Patrol Robo",6
"Jono 1","S/A POW","Takuhee",2
"Jono 1","S/A POW","Living Vase",2
"Jono 1","S/A POW","Tentacle Plant",44
"Jono 1","S/A POW","Little Chimera",44
"Jono 1","S/A POW","Great Bill",2
"Jono 1","S/A POW","Hiro's Shadow Scout",44
"Jono 1","S/A POW","Hourglass of Courage",2
"Jono 1","S/A POW","Kunai with Chain",33
"Jono 1","S/A POW","House of Adhesive Tape",16
"Villager 1","S/A POW","Shadow Specter",74
"Villager 1","S/A POW","Left Arm of the Forbidden One",6
"Villager 1","S/A POW","Skull Servant",74
"Villager 1","S/A POW","Kuriboh",74
"Villager 1","S/A POW","That Which Feeds on Life",12
"Villager 1","S/A POW","Dark Plant",74
"Villager 1","S/A POW","Temple of Skulls",12
"Villager 1","S/A POW","Dokuroizo the Grim Reaper",12
"Villager 1","S/A POW","The Judgement Hand",12
"Villager 1","S/A POW","Ancient Jar",74
"Villager 1","S/A POW","Key Mace",74
"Villager 1","S/A POW","Beautiful Headhuntress",12
"Villager 1","S/A POW","Dark Assailant",12
"Villager 1","S/A POW","Change Slime",74
"Villager 1","S/A POW","Elf's Light",16
"Villager 1","S/A POW","Mountain",32
"Villager 1","S/A POW","Mooyan Curry",32
"Villager 1","S/A POW","Mystic Lamp",74
"Villager 1","S/A POW","Zone Eater",74
"Villager 1","S/A POW","Dancing Elf",74
"Villager 1","S/A POW","Leghul",74
"Villager 1","S/A POW","Ooguchi",74
"Villager 1","S/A POW","Swordsman from a Foreign Land",74
"Villager 1","S/A POW","Monster Eye",74
"Villager 1","S/A POW","Bat",74
"Villager 1","S/A POW","Water Girl",12
"Villager 1","S/A POW","Kappa Avenger",12
"Villager 1","S/A POW","Armed Ninja",74
"Villager 1","S/A POW","Sinister Serpent",74
"Villager 1","S/A POW","Kuwagata ",12
"Villager 1","S/A POW","Ameba",74
"Villager 1","S/A POW","D. Human",12
"Villager 1","S/A POW","Fungi of the Musk",74
"Villager 1","S/A POW","Milus Radiant",74
"Villager 1","S/A POW","Griggle",74
"Villager 1","S/A POW","Bone Mouse",74
"Villager 1","S/A POW","Pot the Trick",74
"Villager 1","S/A POW","Trakadon",10
"Villager 1","S/A POW","Patrol Robo",8
"Villager 1","S/A POW","Queen's Double",74
"Villager 1","S/A POW","Cursebreaker",16
"Villager 1","S/A POW","House of Adhesive Tape",16
"Villager 1","S/A POW","Fake Trap",16
"Villager 2","S/A POW","Shadow Specter",15
