DuelistID,GradeID,CardID,Weight
1,1,2,27
1,1,9,90
1,1,10,30
1,1,16,60
1,1,19,6
1,1,24,27
1,1,25,27
1,1,30,27
1,1,41,27
1,1,46,27
1,1,47,27
1,1,48,27
1,1,58,30
1,1,59,27
1,1,65,27
1,1,105,52
1,1,123,52
1,1,130,52
1,1,137,52
1,1,167,52
1,1,192,52
1,1,197,52
1,1,202,52
1,1,237,52
1,1,238,12
1,1,289,52
1,1,333,40
1,1,381,2
1,1,387,52
1,1,397,52
1,1,402,52
1,1,410,52
1,1,411,52
1,1,422,52
1,1,436,52
1,1,444,52
1,1,469,52
1,1,484,52
1,1,485,52
1,1,488,52
1,1,504,52
1,1,516,52
1,1,547,52
1,1,548,52
1,1,558,52
1,1,563,52
1,1,635,52
2,1,19,6
2,1,24,180
2,1,58,180
2,1,102,12
2,1,167,180
2,1,302,16
2,1,330,30
2,1,393,176
2,1,395,176
2,1,398,176
2,1,399,176
2,1,402,176
2,1,469,176
2,1,475,176
2,1,527,176
2,1,543,12
2,1,566,12
2,1,570,6
2,1,580,6
3,1,4,20
3,1,16,64
3,1,20,6
3,1,29,20
3,1,50,44
3,1,61,20
3,1,100,20
3,1,104,44
3,1,105,44
3,1,122,44
3,1,130,44
3,1,135,44
3,1,137,44
3,1,152,44
3,1,154,44
3,1,174,44
3,1,182,44
3,1,185,44
3,1,191,44
3,1,197,44
3,1,202,44
3,1,207,44
3,1,210,44
3,1,214,44
3,1,237,44
3,1,242,44
3,1,245,44
3,1,268,44
3,1,333,25
3,1,410,44
3,1,420,44
3,1,422,44
3,1,436,44
3,1,444,44
3,1,485,44
3,1,486,44
3,1,488,44
3,1,492,44
3,1,501,44
3,1,516,44
3,1,524,44
3,1,549,44
3,1,558,44
3,1,563,44
3,1,570,6
3,1,579,44
3,1,580,6
3,1,581,2
3,1,588,2
3,1,589,44
3,1,598,44
3,1,607,2
3,1,611,44
3,1,616,2
3,1,651,33
3,1,681,16
4,1,9,74
4,1,20,6
4,1,24,74
4,1,58,74
4,1,112,12
4,1,123,74
4,1,146,12
4,1,153,12
4,1,165,12
4,1,167,74
4,1,192,74
4,1,234,12
4,1,241,12
4,1,289,74
4,1,307,16
4,1,332,32
4,1,338,32
4,1,387,74
4,1,393,74
4,1,395,74
4,1,397,74
4,1,398,74
4,1,399,74
4,1,402,74
4,1,411,74
4,1,435,12
4,1,450,12
4,1,469,74
4,1,475,74
4,1,480,12
4,1,484,74
4,1,502,12
4,1,504,74
4,1,527,74
4,1,547,74
4,1,548,74
4,1,558,74
4,1,570,10
4,1,580,8
4,1,635,74
4,1,655,16
4,1,681,16
4,1,690,16
5,1,9,15
5,1,10,15
5,1,19,6
5,1,23,15
5,1,24,15
5,1,25,15
5,1,30,30
5,1,34,15
5,1,36,15
5,1,40,15
5,1,45,15
5,1,53,15
5,1,59,15
5,1,61,15
5,1,65,15
5,1,80,15
5,1,96,15
5,1,97,15
5,1,98,15
5,1,102,10
5,1,103,15
5,1,108,15
5,1,109,15
5,1,110,15
5,1,115,15
5,1,118,15
5,1,119,15
5,1,120,15
5,1,121,15
5,1,132,30
5,1,135,15
5,1,138,15
5,1,139,15
5,1,140,30
5,1,141,15
5,1,152,15
5,1,154,15
5,1,162,15
5,1,164,15
5,1,167,15
5,1,169,15
5,1,171,15
5,1,172,15
5,1,177,15
5,1,181,15
5,1,191,15
5,1,196,30
5,1,197,15
5,1,199,15
5,1,201,15
5,1,203,15
5,1,205,15
5,1,206,15
5,1,211,15
5,1,215,15
5,1,219,15
5,1,220,15
5,1,221,15
5,1,225,15
5,1,227,15
5,1,228,15
5,1,231,15
5,1,233,15
5,1,236,15
5,1,237,15
5,1,238,10
